Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KARUNAMOYEE - A/C - 06:10 (BEL DEPOT) - 1514,AC Seater (2+2),2.7,07:30,11:30,04h 00m,"5 Seats available
1 Window",INR 300
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-CHITTARANJAN - HALDIA - VIA - KOLKATA - 05:40 - 199,Non AC Seater (2+3),2.9,08:20,13:30,05h 10m,"41 Seats available
11 Window",INR 150
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KARUNAMOYEE - VOLVO - 07:30 (BEL DEPOT) - 3983,Volvo AC Seater (2+2),3.6,08:40,12:40,04h 00m,"45 Seats available
21 Window",INR 360
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - HALDIA - VIA - KOLKATA - 08:05 (HLD DEPO - 744,Non AC Seater (2+3),3.6,09:15,14:45,05h 30m,"52 Seats available
20 Window",INR 150
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,,2.1,10:35,14:05,03h 30m,"43 Seats available
13 Window",INR 155
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,,4.0,02:00,06:00,04h 00m,10 Seats available,475
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,,3.7,02:00,06:00,04h 00m,4 Seats available,570
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,,4.1,06:10,09:20,03h 10m,"16 Seats available
3 Window",INR 486
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,,4.4,06:40,10:00,03h 20m,6 Seats available,INR 486
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,,4.4,06:50,10:00,03h 10m,"22 Seats available
5 Window",INR 486
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,,3.9,07:30,10:45,03h 15m,"15 Seats available
7 Window",INR 486
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,,4.8,08:30,12:30,04h 00m,"15 Seats available
5 Window",INR 486
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,Volvo A/C Seater (2+2),4.6,08:45,12:45,04h 00m,23 Seats available,INR 486
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,Volvo A/C Seater (2+2),4.4,09:45,13:45,04h 00m,21 Seats available,INR 486
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,,Volvo A/C Seater (2+2),3.8,11:00,15:00,04h 00m,11 Seats available,INR 486
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,"WBTC (CTC) BARASAT-DIGHA via Esplanade, Karunamoyee,Airport - 206|10:15",Non AC Seater (2+3),3.5,10:15,15:35,05h 20m,"3 Seats available
1 Window",INR 165
