Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),3.5,05:00,09:00,04h 00m,"5 Seats available
2 Window",INR 270
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 174840,Bharat Benz A/C Seater (2+2),4.0,06:15,10:30,04h 15m,"29 Seats available
12 Window",INR 298
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 174830,Bharat Benz A/C Seater (2+2),4.0,09:30,14:00,04h 30m,"11 Seats available
4 Window",INR 298
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 170878,Bharat Benz A/C Seater (2+2),4.5,10:35,15:15,04h 40m,"5 Seats available
2 Window",INR 298
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 157959,Bharat Benz A/C Seater (2+2),4.4,14:00,18:30,04h 30m,"21 Seats available
8 Window",INR 298
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 168821,Bharat Benz A/C Seater (2+2),2.7,15:45,20:30,04h 45m,"29 Seats available
13 Window",INR 298
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,NEELKANTH TRAVELS,A/C Seater Push Back (2+2),4.5,05:15,08:30,03h 15m,32 Seats available,INR 300
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Sparrow Travels (Under ASTC),A/C Seater Push Back (2+2),3.7,05:20,09:30,04h 10m,"40 Seats available
20 Window",INR 300
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,MAA Anada (UNDER ASTC),AC Seater (2+2),4.1,05:20,08:30,03h 10m,"30 Seats available
15 Window",INR 304.2
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Kanchan Travels,AC Seater (2+2),4.6,05:30,08:45,03h 15m,"27 Seats available
11 Window",332
