Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 515,Ordinary 3+2 Non AC Seater,4.2,12:30,22:50,10h 20m,"37 Seats available
13 Window",INR 507
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 525,Ordinary 3+2 Non AC Seater,4.2,16:50,01:30,08h 40m,"27 Seats available
9 Window",INR 507
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 532,Ordinary 3+2 Non AC Seater,2.0,17:59,04:15,10h 16m,"27 Seats available
9 Window",INR 507
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 538,Ordinary 3+2 Non AC Seater,4.0,18:31,05:30,10h 59m,"36 Seats available
12 Window",INR 507
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,3.5,19:35,04:45,09h 10m,1 Seat available,INR 892
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,4.2,19:43,05:30,09h 47m,"27 Seats available
9 Window",INR 507
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 556,Ordinary 3+2 Non AC Seater,4.5,20:10,05:45,09h 35m,"26 Seats available
9 Window",INR 507
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,4.4,21:02,06:30,09h 28m,"24 Seats available
10 Window",INR 892
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,3.6,21:25,06:45,09h 20m,"33 Seats available
10 Window",INR 507
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,3.8,21:36,05:30,07h 54m,"26 Seats available
10 Window",INR 867
