Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),3.7,19:15,05:50,10h 35m,"14 Seats available
7 Window",INR 700
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),4.6,22:30,08:45,10h 15m,"21 Seats available
5 Single",INR 606
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),4.6,21:00,08:30,11h 30m,26 Seats available,INR 699
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),4.5,21:00,07:30,10h 30m,"18 Seats available
1 Single",INR 555
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Amrutyog,A/C Sleeper (2+1),4.5,22:00,09:30,11h 30m,"29 Seats available
8 Single",INR 699
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Vip Yellows,A/C Sleeper (2+1),4.4,20:30,08:00,11h 30m,27 Seats available,INR 700
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),4.5,21:45,08:35,10h 50m,"25 Seats available
9 Single",540
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),4.5,21:15,07:45,10h 30m,35 Seats available,INR 400
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),4.3,23:00,09:15,10h 15m,"25 Seats available
7 Single",540
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,NON A/C Sleeper (2+1),4.4,20:30,07:00,10h 30m,"19 Seats available
5 Single",INR 599
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Indumati Travels,A/C Sleeper (2+1),4.2,22:20,08:30,10h 10m,"19 Seats available
5 Single",542
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),4.3,20:00,07:15,11h 15m,"35 Seats available
7 Single",INR 499
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Divine,NON A/C Sleeper (1+2),4.1,19:45,06:45,11h 00m,26 Seats available,INR 555
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),4.2,22:30,09:30,11h 00m,28 Seats available,INR 920
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),4.1,21:00,07:40,10h 40m,"18 Seats available
5 Single",INR 500
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),4.1,22:05,08:01,09h 56m,"27 Seats available
6 Single",INR 700
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Humsafar Travels,A/C Sleeper (2+1),4.0,22:50,09:30,10h 40m,21 Seats available,765
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Empress Stellar,NON A/C Sleeper (2+1),4.0,21:00,08:00,11h 00m,"24 Seats available
8 Single",INR 699
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),4.2,21:45,08:45,11h 00m,"20 Seats available
6 Single",INR 1020
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),4.0,23:35,09:45,10h 10m,"29 Seats available
9 Single",INR 600
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Shreyash Travels,Bharat Benz A/C Sleeper (2+1),3.9,21:45,08:30,10h 45m,"19 Seats available
5 Single",561
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),3.9,21:55,08:20,10h 25m,"29 Seats available
8 Single",INR 600
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Queen Asta,A/C Sleeper (2+1),4.1,21:30,08:00,10h 30m,"27 Seats available
7 Single",INR 799
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),3.9,20:15,06:30,10h 15m,"31 Seats available
9 Single",INR 910
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),3.9,21:35,08:15,10h 40m,"25 Seats available
6 Single",INR 600
