Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66646,Volvo AC Seater (2+2),4.2,05:00,10:01,05h 01m,"26 Seats available
7 Window",INR 692
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66647,Volvo AC Seater (2+2),3.9,06:15,11:16,05h 01m,"34 Seats available
14 Window",INR 692
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67139,AC Seater Hvac 2+2,3.1,09:05,14:06,05h 01m,"39 Seats available
18 Window",INR 440
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66648,Volvo AC Seater (2+2),3.6,09:50,14:51,05h 01m,"29 Seats available
13 Window",INR 692
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66649,Volvo AC Seater (2+2),4.2,12:40,18:49,06h 09m,"30 Seats available
12 Window",INR 692
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67101,AC Seater Hvac 2+2,3.1,15:25,20:26,05h 01m,"39 Seats available
19 Window",INR 440
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),4.2,16:00,22:09,06h 09m,"26 Seats available
11 Window",INR 692
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),3.8,18:10,00:19,06h 09m,"39 Seats available
19 Window",INR 692
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,3.0,22:30,03:31,05h 01m,"37 Seats available
17 Window",INR 440
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67085,Volvo AC Seater (2+2),4.4,03:00,08:00,05h 00m,"30 Seats available
13 Window",INR 692
