Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 192566,Semi Deluxe Non AC Seater 2+2,4.2,04:45,09:15,04h 30m,"34 Seats available
17 Window",INR 250
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 146314,Super Luxury Volvo AC Seater Pushback 2+2,4.2,06:15,10:15,04h 00m,"10 Seats available
4 Window",INR 460
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193343,Semi Deluxe Non AC Seater 2+2,4.2,07:15,12:00,04h 45m,"35 Seats available
17 Window",INR 250
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 185141,Super Luxury Volvo AC Seater Pushback 2+2,4.0,07:15,11:15,04h 00m,"37 Seats available
18 Window",INR 460
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193585,Express Non AC Seater 2+3,4.2,07:40,12:20,04h 40m,"42 Seats available
15 Window",INR 227
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 192577,Express Non AC Seater 2+3,4.2,08:00,12:55,04h 55m,"46 Seats available
19 Window",INR 229
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 186250,Super Luxury Volvo AC Seater Pushback 2+2,4.6,09:16,13:20,04h 04m,"34 Seats available
16 Window",INR 460
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 174461,Express Non AC Seater 2+3,4.2,09:30,14:15,04h 45m,"42 Seats available
15 Window",INR 229
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 179321,Express Non AC Seater 2+3,4.2,10:00,14:30,04h 30m,"42 Seats available
15 Window",INR 229
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193432,Express Non AC Seater 2+3,4.2,10:00,15:45,05h 45m,"42 Seats available
15 Window",INR 226
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 179320,Express Non AC Seater 2+3,4.2,10:15,14:40,04h 25m,"42 Seats available
15 Window",INR 229
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 164138,Express Non AC Seater 2+3,4.2,10:30,15:00,04h 30m,"42 Seats available
15 Window",INR 229
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 187787,Super Luxury Volvo AC Seater Pushback 2+2,4.7,11:00,15:00,04h 00m,"31 Seats available
15 Window",INR 460
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 182944,Express Non AC Seater 2+3,4.2,11:15,15:50,04h 35m,"42 Seats available
15 Window",INR 229
