Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Royal Cruiser,Volvo A/C Seater (2+2),3.8,03:00,06:00,03h 00m,11 Seats available,380
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),4.8,07:15,09:20,02h 05m,"16 Seats available
3 Window",INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),3.3,07:40,10:00,02h 20m,14 Seats available,INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line,Volvo 9600 A/C Seater (2+2),3.9,08:05,10:00,01h 55m,"23 Seats available
6 Window",INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line (Karunamoyee),Volvo A/C Seater (2+2),4.6,09:40,12:30,02h 50m,"19 Seats available
7 Window",INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),4.4,09:45,12:45,03h 00m,24 Seats available,INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),3.7,10:45,13:45,03h 00m,21 Seats available,INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),4.4,13:45,16:30,02h 45m,6 Seats available,INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),4.6,14:05,16:45,02h 40m,22 Seats available,INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Volvo A/C Seater (2+2),5.0,14:10,17:10,03h 00m,"4 Seats available
1 Window",INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),4.6,14:55,17:45,02h 50m,2 Seats available,INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),4.4,15:20,18:00,02h 40m,29 Seats available,INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,Volvo A/C Seater (2+2),4.6,16:00,18:50,02h 50m,"15 Seats available
3 Window",INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),4.4,16:30,19:20,02h 50m,17 Seats available,INR 429
Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,Volvo A/C Seater (2+2),4.7,17:00,19:50,02h 50m,"19 Seats available
7 Window",INR 429
