Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - PLB0002,Shatabdi AC Seater 2+2,4.1,00:25,06:00,05h 35m,"25 Seats available
10 Window",INR 598
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0080,Ordinary Non AC Seater 2+3,3.3,00:35,08:00,07h 25m,"52 Seats available
20 Window",INR 450
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0072,Janrath AC Seater 2+2,3.3,00:40,05:45,05h 05m,"36 Seats available
18 Window",INR 598
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0043,Shatabdi AC Seater 2+2,2.6,06:00,11:30,05h 30m,"36 Seats available
17 Window",INR 598
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0150,Janrath AC Seater 2+2,3.3,07:05,11:45,04h 40m,"33 Seats available
15 Window",INR 598
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0145,Rajdhani Non AC Seater 2+3,3.3,07:30,12:30,05h 00m,"52 Seats available
20 Window",INR 448
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0052,Ordinary Non AC Seater 2+3,3.3,08:00,13:30,05h 30m,"52 Seats available
20 Window",INR 448
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0133,Janrath AC Seater 2+2,3.4,08:15,13:45,05h 30m,"36 Seats available
18 Window",INR 598
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - PLB0055,Rajdhani Non AC Seater 2+3,3.3,08:30,14:29,05h 59m,"51 Seats available
19 Window",INR 454
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0108,Janrath AC Seater 2+2,3.3,09:02,13:45,04h 43m,"33 Seats available
16 Window",INR 598
